GO_term,description,source,sink,avg_pvalue,avg_pvalue_adj,avg_qvalue
PVR,IL18,GO:0042267,natural killer cell mediated cytotoxicity,0.50868226374386,0.661365958803866,0.44290218372372
RHOA,PLK2,GO:0032465,regulation of cytokinesis,0.727852421383439,0.793758934171111,0.531562836905634
KRAS,ARHGAP24,GO:0035020,regulation of Rac protein signal transduction,0.0471770700875902,0.131515841719353,0.0880732561396295
RORA,PDE8A,GO:0009187,cyclic nucleotide metabolic process,0.10696746497827,0.236032999068816,0.158066089321419
PARP1,MSH2,GO:0045911,positive regulation of DNA recombination,0.484222241910769,0.644172910267575,0.431388378635591
GHR,BCL2,GO:0040018,positive regulation of multicellular organism growth,0.130522799952544,0.265824673063972,0.17801691577929
SLMAP,KCNQ1,GO:1905150,regulation of voltage-gated sodium channel activity,0.128990064060952,0.265639335558287,0.177892799342843
RHOH,GAB2,GO:0045576,mast cell activation,0.421446166664102,0.592389161711863,0.39670994529408
GSTP1,ACOT7,GO:0042759,long-chain fatty acid biosynthetic process,0.278372200492625,0.43790888316556,0.293257912724776
KCNJ3,KCNJ15,GO:1990573,potassium ion import across plasma membrane,0.392350542374632,0.562025946997286,0.376376370632511
MMP3,MME,GO:0071492,cellular response to UV-A,0.00370596903479874,0.0222735916709208,0.0149161326782875
PLCL1,GABRG3,GO:0007214,gamma-aminobutyric acid signaling pathway,0.0295425265634473,0.0950260428903903,0.0636368433339024
ZDHHC3,GPAA1,GO:0006497,protein lipidation,0.736271103557248,0.799604793990336,0.535477680185987
EPHA1,FERMT2,GO:0051496,positive regulation of stress fiber assembly,0.232574215644313,0.389733458287901,0.260995894100892
SRC,PAK2,GO:0002223,stimulatory C-type lectin receptor signaling pathway,0.0108291573008633,0.0479567768000515,0.0321155948327132
CR1,LOXL3,GO:0045620,negative regulation of lymphocyte differentiation,0.890207658193877,0.912176634117327,0.610864556626097
PTN,TMEM106B,GO:1900006,positive regulation of dendrite development,0.00331336061107796,0.020370833555525,0.0136418975695876
SRC,DLC1,GO:0051895,negative regulation of focal adhesion assembly,0.0197115407857904,0.0738697207776114,0.0494689214162716
PLEC,TNF,GO:0030866,cortical actin cytoskeleton organization,0.47028555830347,0.640194925871464,0.428724410294912
NOTCH1,BCL2,GO:2000811,negative regulation of anoikis,0.0241002823399399,0.0846236305238033,0.056670577393199
RYR2,P2RX7,GO:0060402,calcium ion transport into cytosol,0.0338933800191776,0.105509698306796,0.070657515951723
GRM3,CRHR1,GO:0045761,regulation of adenylate cyclase activity,0.281352333763765,0.442125095914488,0.296081417334722
HIP1R,SRC,GO:0035791,platelet-derived growth factor receptor-beta signaling pathway,0.0547889763815444,0.146701092073381,0.0982424831049156
AICDA,ADARB2,GO:0016553,base conversion or substitution editing,0.341618220755253,0.507222621398381,0.339675793198837
EGR2,NAV2,GO:0021783,preganglionic parasympathetic fiber development,0.00246636519602111,0.0162612882078838,0.0108898257637243
CNTNAP2,PICK1,GO:0045161,neuronal ion channel clustering,0.0363778686858402,0.108788497230048,0.0728532552149381
TENM4,ABCA2,GO:0022010,central nervous system myelination,0.0157383588187803,0.0623966258855306,0.0417856430223212
PCK1,PPP1R3B,GO:0034637,cellular carbohydrate biosynthetic process,0.556097141460226,0.684492078187762,0.458389235392826
GSK3B,SPI1,GO:1901984,negative regulation of protein acetylation,0.0703320634949952,0.174822026292787,0.117074452014612
PPARD,LRP2,GO:0006775,fat-soluble vitamin metabolic process,0.15452346949339,0.296275393440564,0.198409091051124
OVOL2,RARB,GO:2000647,negative regulation of stem cell proliferation,0.0255613833357577,0.0875711308237231,0.0586444532814014
FBXL3,CLOCK,GO:0009648,photoperiodism,0.154140134595542,0.296275393440564,0.198409091051124
SRC,TF,GO:0045780,positive regulation of bone resorption,0.101996775409744,0.226762061770683,0.151857547258058
GSTP1,PTGS2,GO:0006692,prostanoid metabolic process,0.622533455469495,0.723630489843739,0.484599365743745
PARP1,RBCK1,GO:0070266,necroptotic process,0.164942373626622,0.312399689978337,0.209207176517307
PPARD,MTLN,GO:0046321,positive regulation of fatty acid oxidation,0.0158531454505639,0.0623966258855306,0.0417856430223212
PLXNA4,NRP1,GO:0021783,preganglionic parasympathetic fiber development,0.00246636519602111,0.0162612882078838,0.0108898257637243
ARG2,IL6,GO:0002828,regulation of type 2 immune response,0.154140134595542,0.296275393440564,0.198409091051124
FGF10,BCL3,GO:0048536,spleen development,0.075080617955479,0.183719060287371,0.123032599289068
GAPDH,P2RX7,GO:0031640,killing of cells of another organism,0.798395428809885,0.843004915519893,0.564541783566935
CYP2J2,GSTP1,GO:0043651,linoleic acid metabolic process,0.144904219000033,0.287468127598989,0.19251105952721
LDLR,ABCG8,GO:0098856,intestinal lipid absorption,0.0131296581101498,0.0549804433362521,0.0368191892727062
SLC24A4,PPARA,GO:0070166,enamel mineralization,0.0405683586718216,0.118235809554652,0.0791799117402518
LARS1,RPTOR,GO:0071233,cellular response to leucine,0.128990064060952,0.265639335558287,0.177892799342843
NFIB,DAG1,GO:0071679,commissural neuron axon guidance,0.00370596903479874,0.0222735916709208,0.0149161326782875
COL11A1,KCNQ1,GO:0050910,detection of mechanical stimulus involved in sensory perception of sound,0.245632995651731,0.399099093988084,0.267267853593748
SOD2,CAT,GO:0055093,response to hyperoxia,0.129999096096003,0.26576791629058,0.17797890702099
TARBP2,PPARA,GO:0045070,positive regulation of viral genome replication,0.0492267947051776,0.135373685439238,0.0906567689214068
ABCA1,NRP1,GO:0032488,Cdc42 protein signal transduction,0.0653596078801984,0.166246871467493,0.11133186011472
TLR4,IL33,GO:0051770,positive regulation of nitric-oxide synthase biosynthetic process,0.00435094534626705,0.0251652071206218,0.0168525837158917
CSNK1A1,CLN5,GO:1904424,regulation of GTP binding,0.245632995651731,0.399099093988084,0.267267853593748
SLC6A4,PSEN1,GO:0048854,brain morphogenesis,0.0825006479745693,0.196217757344922,0.131402700814254
AKAP6,PDE7B,GO:0019933,cAMP-mediated signaling,0.435928151734803,0.608350716583657,0.407399046258891
SALL1,ERBB4,GO:0021889,olfactory bulb interneuron differentiation,0.0286039492507729,0.0937459059380528,0.0627795638744619
BCHE,MAOB,GO:0042135,neurotransmitter catabolic process,0.000196052512469743,0.002214416884141,0.00148294610662231
REST,WNT3,GO:0072497,mesenchymal stem cell differentiation,0.0363778686858402,0.108788497230048,0.0728532552149381
PLPP4,ACE,GO:0070509,calcium ion import,0.37769538107563,0.546074538210377,0.365694064276784
ACE,MME,GO:0042447,hormone catabolic process,0.000553525213254686,0.00507744891188784,0.00340025545748969
CR1,PRNP,GO:0032703,negative regulation of interleukin-2 production,0.0295425265634473,0.0950260428903903,0.0636368433339024
LIPG,TREM2,GO:0010984,regulation of lipoprotein particle clearance,0.061381639276811,0.160419390592233,0.107429324807446
KANSL1,KAT8,GO:0043984,histone H4-K16 acetylation,0.144904219000033,0.287468127598989,0.19251105952721
GPAA1,ABCA1,GO:0006497,protein lipidation,0.736271103557248,0.799604793990336,0.535477680185987
TRAF2,BRCA2,GO:0051865,protein autoubiquitination,0.578937400855446,0.696757484271017,0.466603107102154
ARFGEF2,PSD3,GO:0032011,ARF protein signal transduction,0.0405683586718216,0.118235809554652,0.0791799117402518
STK3,CCDC134,GO:0035162,embryonic hemopoiesis,0.192542879727241,0.345580766779852,0.231427811217458
SPI1,BRCA2,GO:0043966,histone H3 acetylation,0.556097141460226,0.684492078187762,0.458389235392826
HEYL,ALPK2,GO:0061311,cell surface receptor signaling pathway involved in heart development,0.130522799952544,0.265824673063972,0.17801691577929
TCN2,MTR,GO:0009235,cobalamin metabolic process,0.197766891439243,0.349007360648242,0.233722525493029
RELN,PTK2B,GO:2000310,regulation of NMDA receptor activity,0.0471770700875902,0.131515841719353,0.0880732561396295
BCL2,RAB38,GO:0006582,melanin metabolic process,0.0703320634949952,0.174822026292787,0.117074452014612
IDUA,CHST12,GO:0030204,chondroitin sulfate metabolic process,0.11932386121109,0.253708433357586,0.169902937499876
CDK5R1,DAB1,GO:0021801,cerebral cortex radial glia-guided migration,0.0186708153280529,0.0713898360403373,0.0478081973483013
AKT1,CLDN1,GO:0070673,response to interleukin-18,0.0286039492507729,0.0937459059380528,0.0627795638744619
LPXN,NECTIN2,GO:0050854,regulation of antigen receptor-mediated signaling pathway,0.797914860660752,0.843004915519893,0.564541783566935
RELN,VEGFA,GO:0097475,motor neuron migration,0.000852649428495685,0.00702646459006752,0.00470546823490382
JAM2,TNF,GO:0031642,negative regulation of myelination,0.00370596903479874,0.0222735916709208,0.0149161326782875
CCKBR,KCNQ1,GO:0001696,gastric acid secretion,0.00435094534626705,0.0251652071206218,0.0168525837158917
TF,GAPDH,GO:0019730,antimicrobial humoral response,0.904440085038588,0.923550180358073,0.61848116948567
REST,PPARA,GO:1902894,negative regulation of miRNA transcription,0.00560063863233742,0.0300194230693286,0.020103344985548
TMED10,PICALM,GO:1902959,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,0.000196052512469743,0.002214416884141,0.00148294610662231
SOD2,SNCA,GO:0010310,regulation of hydrogen peroxide metabolic process,0.0070834968205077,0.0354234921575177,0.0237223307653447
CD34,TNF,GO:0061042,vascular wound healing,0.0108291573008633,0.0479567768000515,0.0321155948327132
TNF,LRAT,GO:0006775,fat-soluble vitamin metabolic process,0.15452346949339,0.296275393440564,0.198409091051124
NDUFA9,NDUFA12,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,0.621631900773432,0.723630489843739,0.484599365743745
PLCL1,GABRA2,GO:0007214,gamma-aminobutyric acid signaling pathway,0.0295425265634473,0.0950260428903903,0.0636368433339024
RYR2,AGT,GO:0014850,response to muscle activity,0.192542879727241,0.345580766779852,0.231427811217458
TARBP2,DROSHA,GO:0031054,pre-miRNA processing,0.0767841761331909,0.186304322008763,0.124763891997227
MMP12,TBK1,GO:0060340,positive regulation of type I interferon-mediated signaling pathway,0.115677385674952,0.248882903573983,0.166671386721776
PPARG,AGT,GO:0010661,positive regulation of muscle cell apoptotic process,0.0680394336570113,0.17092479797262,0.114464564235395
NOTCH4,VEGFA,GO:2000048,negative regulation of cell-cell adhesion mediated by cadherin,0.0218135910100526,0.0789770070500024,0.0528891582954651
PPARG,CSF1R,GO:0030224,monocyte differentiation,0.075080617955479,0.183719060287371,0.123032599289068
SNCA,SLC29A2,GO:0098810,neurotransmitter reuptake,0.075080617955479,0.183719060287371,0.123032599289068
ARFGEF2,MAP4K4,GO:0032011,ARF protein signal transduction,0.0405683586718216,0.118235809554652,0.0791799117402518
PARK7,PPARA,GO:1903427,negative regulation of reactive oxygen species biosynthetic process,0.0070834968205077,0.0354234921575177,0.0237223307653447
PPARG,TNF,GO:0030730,sequestering of triglyceride,0.00435094534626705,0.0251652071206218,0.0168525837158917
MAP3K20,TP53,GO:0071480,cellular response to gamma radiation,0.11932386121109,0.253708433357586,0.169902937499876
ABCA2,SIRT2,GO:0043687,post-translational protein modification,0.478575834324626,0.640194925871464,0.428724410294912
PARK7,PARP1,GO:2000679,positive regulation of transcription regulatory region DNA binding,0.0703320634949952,0.174822026292787,0.117074452014612
LDLR,SRC,GO:0071398,cellular response to fatty acid,0.0680394336570113,0.17092479797262,0.114464564235395
APOE,REST,GO:0045939,negative regulation of steroid metabolic process,0.0437310247062749,0.124740262055248,0.0835358000016485
TSPO,VSNL1,GO:0046888,negative regulation of hormone secretion,0.357445513816753,0.524644946343932,0.351343139637237
ACE,USP8,GO:0071548,response to dexamethasone,0.289786890027867,0.452844819402147,0.303260179528932
HESX1,PSEN1,GO:0048854,brain morphogenesis,0.0825006479745693,0.196217757344922,0.131402700814254
CHRM3,PTGS2,GO:0045987,positive regulation of smooth muscle contraction,0.0437310247062749,0.124740262055248,0.0835358000016485
GOLPH3L,NSF,GO:0043001,Golgi to plasma membrane protein transport,0.246864721128654,0.399099093988084,0.267267853593748
NOTCH1,TARBP2,GO:0045070,positive regulation of viral genome replication,0.0492267947051776,0.135373685439238,0.0906567689214068
PPARG,TP53,GO:0010661,positive regulation of muscle cell apoptotic process,0.0680394336570113,0.17092479797262,0.114464564235395
ERBB4,SRC,GO:0038128,ERBB2 signaling pathway,0.00435094534626705,0.0251652071206218,0.0168525837158917
BLOC1S3,SOD2,GO:0050931,pigment cell differentiation,0.0825006479745693,0.196217757344922,0.131402700814254
PDE4B,RAPGEF2,GO:0071875,adrenergic receptor signaling pathway,0.349274226754344,0.515345555791694,0.345115543057674
RAC1,EPHA1,GO:0051496,positive regulation of stress fiber assembly,0.232574215644313,0.389733458287901,0.260995894100892
LRRK2,SERPINE1,GO:0010955,negative regulation of protein processing,0.108563491611547,0.238040292503415,0.159410329425893
DCN,P2RX7,GO:1904181,positive regulation of membrane depolarization,0.000196052512469743,0.002214416884141,0.00148294610662231
GRM3,GRM8,GO:0007216,G protein-coupled glutamate receptor signaling pathway,0.00964826347178884,0.0442349622314674,0.0296231777708766
CRYL1,UGT1A10,GO:0006063,uronic acid metabolic process,0.226174629106114,0.38068102004272,0.25493367603018
PLA2R1,TRH,GO:0032891,negative regulation of organic acid transport,0.0108291573008633,0.0479567768000515,0.0321155948327132
LAMB2,LOXL3,GO:2001046,positive regulation of integrin-mediated signaling pathway,0.00725087606427079,0.0356556841325609,0.0238778246056624
SLC6A4,HESX1,GO:0048854,brain morphogenesis,0.0825006479745693,0.196217757344922,0.131402700814254
ZDHHC3,LRP1,GO:0044872,lipoprotein localization,0.00881986541200165,0.041501936527663,0.0277929307854145
JPH3,DPP4,GO:0035640,exploration behavior,0.0982641658746686,0.222488722113451,0.148995786018631
VCP,PARK7,GO:0090085,regulation of protein deubiquitination,0.0286039492507729,0.0937459059380528,0.0627795638744619
BDNF,EFNA5,GO:0048672,positive regulation of collateral sprouting,0.002482218349236,0.0162612882078838,0.0108898257637243
LIPG,APOE,GO:0034375,high-density lipoprotein particle remodeling,0.0158531454505639,0.0623966258855306,0.0417856430223212
LILRB2,IL4I1,GO:0045589,regulation of regulatory T cell differentiation,0.075080617955479,0.183719060287371,0.123032599289068
EPB42,G6PD,GO:0043249,erythrocyte maturation,0.0767841761331909,0.186304322008763,0.124763891997227
BLMH,ACOT7,GO:0044273,sulfur compound catabolic process,0.0984520142459282,0.222488722113451,0.148995786018631
NOTCH1,IL18,GO:0045662,negative regulation of myoblast differentiation,0.0186708153280529,0.0713898360403373,0.0478081973483013
FGF1,SALL1,GO:0031128,developmental induction,0.0680394336570113,0.17092479797262,0.114464564235395
TARBP2,PPID,GO:0045070,positive regulation of viral genome replication,0.0492267947051776,0.135373685439238,0.0906567689214068
ROBO1,ESR1,GO:0033598,mammary gland epithelial cell proliferation,0.0791304324606602,0.190352113336619,0.127474608499189
PPP3R1,AP2A2,GO:0099590,neurotransmitter receptor internalization,0.0219410341838372,0.0789770070500024,0.0528891582954651
TOMM40,SFXN1,GO:1990542,mitochondrial transmembrane transport,0.836890325831406,0.871015950768221,0.583300155561593
RHOA,BRCA2,GO:0032465,regulation of cytokinesis,0.727852421383439,0.793758934171111,0.531562836905634
AMOT,RHOA,GO:0090162,establishment of epithelial cell polarity,0.061381639276811,0.160419390592233,0.107429324807446
CPSF6,NUP62,GO:0006405,RNA export from nucleus,0.830532725396085,0.865162711826027,0.579380370645474
IL34,NEDD9,GO:0002763,positive regulation of myeloid leukocyte differentiation,0.319126681339641,0.481097139651885,0.322180134762947
ABCB1,ATP7B,GO:0046618,xenobiotic export from cell,0.243390609140602,0.399099093988084,0.267267853593748
CD36,XRCC1,GO:0033194,response to hydroperoxide,0.0890140265647768,0.205975942160881,0.137937541784879
EGFR,AGT,GO:0010863,positive regulation of phospholipase C activity,0.246864721128654,0.399099093988084,0.267267853593748
RAPGEF6,RAPGEF2,GO:0030033,microvillus assembly,0.26975425558295,0.42720147486357,0.286087397738565
AKT1,A2M,GO:0034694,response to prostaglandin,0.130522799952544,0.265824673063972,0.17801691577929
CHRM3,RHOA,GO:0003056,regulation of vascular associated smooth muscle contraction,0.0218135910100526,0.0789770070500024,0.0528891582954651
NEK10,YWHAZ,GO:0003016,respiratory system process,0.232874995513615,0.389733458287901,0.260995894100892
IRX2,WNT7B,GO:0072070,loop of Henle development,0.0363778686858402,0.108788497230048,0.0728532552149381
RET,TGFB2,GO:0033630,positive regulation of cell adhesion mediated by integrin,0.411111116324451,0.580577519005739,0.388799948902115
APOE,CCL8,GO:0044788,modulation by host of viral process,0.164942373626622,0.312399689978337,0.209207176517307
IL1A,GRN,GO:0090594,inflammatory response to wounding,0.00331336061107796,0.020370833555525,0.0136418975695876
WDR12,MPHOSPH6,GO:0000460,maturation of 5.8S rRNA,0.40204740846407,0.573686234342729,0.384185007680422
CLDN1,LPL,GO:0071398,cellular response to fatty acid,0.0680394336570113,0.17092479797262,0.114464564235395
REST,SPI1,GO:1903306,negative regulation of regulated secretory pathway,0.0219410341838372,0.0789770070500024,0.0528891582954651
KCNMB2,ANK3,GO:0019228,neuronal action potential,0.43655561089984,0.608350716583657,0.407399046258891
SRC,LRP1,GO:0045056,transcytosis,0.00881986541200165,0.041501936527663,0.0277929307854145
AGT,SORL1,GO:1900078,positive regulation of cellular response to insulin stimulus,0.0186708153280529,0.0713898360403373,0.0478081973483013
PLCG2,PICK1,GO:0002092,positive regulation of receptor internalization,0.243390609140602,0.399099093988084,0.267267853593748
BCL2,PRKAA1,GO:0048643,positive regulation of skeletal muscle tissue development,0.0070834968205077,0.0354234921575177,0.0237223307653447
MAPK7,HTRA2,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,0.00560063863233742,0.0300194230693286,0.020103344985548
PKHD1,NUP62,GO:0010824,regulation of centrosome duplication,0.175631013654757,0.324405729917203,0.217247356444946
LRP2,ESR1,GO:0030540,female genitalia development,0.101996775409744,0.226762061770683,0.151857547258058
ABCA8,SPTLC1,GO:0006686,sphingomyelin biosynthetic process,0.0286039492507729,0.0937459059380528,0.0627795638744619
BTG1,TNF,GO:0045601,regulation of endothelial cell differentiation,0.175631013654757,0.324405729917203,0.217247356444946
MME,TP53,GO:0090399,replicative senescence,0.00331336061107796,0.020370833555525,0.0136418975695876
HTRA2,RET,GO:2001241,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,0.00370596903479874,0.0222735916709208,0.0149161326782875
SIRT2,TP53,GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,0.0286039492507729,0.0937459059380528,0.0627795638744619
TNRC6A,TNKS1BP1,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,0.366961287346244,0.532776101992971,0.356788395089558
APP,ADAM17,GO:2000406,positive regulation of T cell migration,0.179213546915161,0.327844577291899,0.219550276623208
AKT1,APOE,GO:0051000,positive regulation of nitric-oxide synthase activity,0.0108291573008633,0.0479567768000515,0.0321155948327132
NOTCH1,BTG1,GO:0045601,regulation of endothelial cell differentiation,0.175631013654757,0.324405729917203,0.217247356444946
MAPK7,SERPINE1,GO:2000352,negative regulation of endothelial cell apoptotic process,0.384562638011658,0.554778887623375,0.371523174940241
VEGFA,ULK4,GO:0090036,regulation of protein kinase C signaling,0.00560063863233742,0.0300194230693286,0.020103344985548
SNCA,COX5A,GO:0019646,aerobic electron transport chain,0.710438287024646,0.78042386860328,0.522632637850979
ELOVL3,ACSL6,GO:0035336,long-chain fatty-acyl-CoA metabolic process,0.0703320634949952,0.174822026292787,0.117074452014612
PPP3R1,GSG1L,GO:0099590,neurotransmitter receptor internalization,0.0219410341838372,0.0789770070500024,0.0528891582954651
PARK7,SPI1,GO:0036462,TRAIL-activated apoptotic signaling pathway,0.045115966472311,0.127031393658427,0.0850701202622221
BCL3,CD33,GO:0032717,negative regulation of interleukin-8 production,0.219088023075904,0.376414066010509,0.252076191102874
NRXN3,CNTNAP2,GO:0071625,vocalization behavior,0.0290335206619672,0.0942111380423549,0.0630911195452533
BTG1,TP53,GO:0044346,fibroblast apoptotic process,0.0791304324606602,0.190352113336619,0.127474608499189
HPS1,ABCA1,GO:0060155,platelet dense granule organization,0.0620662637882844,0.16120823405098,0.107957595858963
NOTCH1,CNTF,GO:0060219,camera-type eye photoreceptor cell differentiation,0.108563491611547,0.238040292503415,0.159410329425893
IL1A,IL10,GO:0051930,regulation of sensory perception of pain,0.192230163035121,0.345580766779852,0.231427811217458
FUT2,B4GALNT2,GO:0009312,oligosaccharide biosynthetic process,0.537803395341791,0.674156960572186,0.451468035261421
TYROBP,TNF,GO:2000010,positive regulation of protein localization to cell surface,0.0070834968205077,0.0354234921575177,0.0237223307653447
NOTCH1,WNT3,GO:0035116,embryonic hindlimb morphogenesis,0.0982641658746686,0.222488722113451,0.148995786018631
SCARA5,SIGMAR1,GO:0070207,protein homotrimerization,0.0653596078801984,0.166246871467493,0.11133186011472
DDAH1,OTC,GO:0006525,arginine metabolic process,0.0345210266223321,0.106062564822355,0.0710277584533052
EPB42,BCL3,GO:0048536,spleen development,0.075080617955479,0.183719060287371,0.123032599289068
EPHA1,NRP1,GO:0051496,positive regulation of stress fiber assembly,0.232574215644313,0.389733458287901,0.260995894100892
SNAP25,GSG1L,GO:0099590,neurotransmitter receptor internalization,0.0219410341838372,0.0789770070500024,0.0528891582954651
PSMC6,ESR1,GO:0060260,regulation of transcription initiation by RNA polymerase II,0.421446166664102,0.592389161711863,0.39670994529408
CD34,GSK3B,GO:1900034,regulation of cellular response to heat,0.0890140265647768,0.205975942160881,0.137937541784879
UBR5,UBE2D1,GO:1902914,regulation of protein polyubiquitination,0.57566168393586,0.693098078106153,0.464152483570695
BIN1,PICALM,GO:1902959,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,0.000196052512469743,0.002214416884141,0.00148294610662231
SOD1,PRKAA1,GO:0045540,regulation of cholesterol biosynthetic process,0.0131296581101498,0.0549804433362521,0.0368191892727062
SRC,CASP3,GO:0048011,neurotrophin TRK receptor signaling pathway,0.0157383588187803,0.0623966258855306,0.0417856430223212
APP,APOD,GO:2000404,regulation of T cell migration,0.197756158695495,0.349007360648242,0.233722525493029
NCK2,PARK7,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,0.370269226655682,0.536653726735964,0.359385154785868
PCK1,LPL,GO:0019432,triglyceride biosynthetic process,0.11583017086279,0.248882903573983,0.166671386721776
PLCL1,NPAS4,GO:0032228,regulation of synaptic transmission GABAergic,0.192230163035121,0.345580766779852,0.231427811217458
AGT,PSEN1,GO:0051957,positive regulation of amino acid transport,0.0219410341838372,0.0789770070500024,0.0528891582954651
CHRM3,AGT,GO:0014829,vascular associated smooth muscle contraction,0.0255613833357577,0.0875711308237231,0.0586444532814014
YWHAZ,FLT4,GO:0003016,respiratory system process,0.232874995513615,0.389733458287901,0.260995894100892
MTMR2,SYNJ1,GO:0046839,phospholipid dephosphorylation,0.15452346949339,0.296275393440564,0.198409091051124
BCL2,ST3GAL1,GO:0070233,negative regulation of T cell apoptotic process,0.0157383588187803,0.0623966258855306,0.0417856430223212
NOTCH1,TTBK1,GO:0048711,positive regulation of astrocyte differentiation,0.0547889763815444,0.146701092073381,0.0982424831049156
NOTCH1,PPARA,GO:0045070,positive regulation of viral genome replication,0.0492267947051776,0.135373685439238,0.0906567689214068
KCNJ3,AKAP9,GO:0099622,cardiac muscle cell membrane repolarization,0.246864721128654,0.399099093988084,0.267267853593748
PPARD,PID1,GO:0070344,regulation of fat cell proliferation,0.000340654649501219,0.00343921200934792,0.00230316436604014
ALDH2,TACR3,GO:0042053,regulation of dopamine metabolic process,0.0070834968205077,0.0354234921575177,0.0237223307653447
PRKCQ,TNKS1BP1,GO:0010833,telomere maintenance via telomere lengthening,0.590119655594155,0.707759456750028,0.473970885215553
TREM1,F2,GO:0070944,neutrophil-mediated killing of bacterium,0.0286039492507729,0.0937459059380528,0.0627795638744619
TSKU,RARB,GO:0098868,bone growth,0.0437310247062749,0.124740262055248,0.0835358000016485
EIF2AK3,REEP3,GO:0007029,endoplasmic reticulum organization,0.939712578847742,0.950132958010859,0.636283068895725
PSPH,MTHFD1,GO:0009070,serine family amino acid biosynthetic process,0.160334821459893,0.30465166204561,0.204018493239499
SPI1,TGFB2,GO:0060561,apoptotic process involved in morphogenesis,0.0791304324606602,0.190352113336619,0.127474608499189
CYCS,PARK7,GO:0019646,aerobic electron transport chain,0.710438287024646,0.78042386860328,0.522632637850979
AGT,NAV2,GO:0001976,nervous system process involved in regulation of systemic arterial blood pressure,0.0547889763815444,0.146701092073381,0.0982424831049156
EPHX2,SYNJ1,GO:0046839,phospholipid dephosphorylation,0.15452346949339,0.296275393440564,0.198409091051124
PMAIP1,PPARA,GO:0010907,positive regulation of glucose metabolic process,0.125029329746913,0.263747022607441,0.176625559130278
GOLPH3L,ANK3,GO:0043001,Golgi to plasma membrane protein transport,0.246864721128654,0.399099093988084,0.267267853593748
AGT,RET,GO:0090183,regulation of kidney development,0.349274226754344,0.515345555791694,0.345115543057674
