go_term,description,mouse_symbol,human_symbol,avg_pvalue,avg_pvalue_adj,avg_qvalue
GO:0000245,spliceosomal complex assembly,Srsf12,SF3B3,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Srsf12,CELF2,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Srsf12,RBM5,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf2,CELF1,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf2,SRSF12,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf2,SF3B3,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf2,CELF2,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf2,RBM5,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Rbm5,CELF1,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Rbm5,SRSF12,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Rbm5,SF3B3,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Rbm5,CELF2,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Rbm5,RBM5,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000266,mitochondrial fission,4930550C14Rik,MAPT,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,4930550C14Rik,PPARG,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,4930550C14Rik,C11orf65,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,4930550C14Rik,DCN,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,4930550C14Rik,LRRK2,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Mapt,MAPT,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Mapt,PPARG,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Mapt,C11orf65,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Mapt,DCN,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Mapt,LRRK2,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Dcn,MAPT,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Dcn,PPARG,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Dcn,C11orf65,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Dcn,DCN,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Dcn,LRRK2,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Pparg,MAPT,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Pparg,PPARG,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Pparg,C11orf65,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Pparg,DCN,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000266,mitochondrial fission,Pparg,LRRK2,0.12977725434447,0.22540519386747,0.127970143023628
GO:0000271,polysaccharide biosynthetic process,Ppp1r3b,IGF1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Ppp1r3b,PPP1R3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Ppp1r3b,GSK3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Ppp1r3b,AKT1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Cd36,IGF1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Cd36,PPP1R3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Cd36,GSK3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Cd36,AKT1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Akt1,IGF1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Akt1,PPP1R3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Akt1,GSK3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Akt1,AKT1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Igf1,IGF1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Igf1,PPP1R3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Igf1,GSK3B,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000271,polysaccharide biosynthetic process,Igf1,AKT1,0.541051450944708,0.615993479792824,0.362618532238954
GO:0000272,polysaccharide catabolic process,Ppp1r3b,PPP1R3B,0.724156167276957,0.764306212483081,0.433218027048867
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Paip1,PAIP1,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Paip1,TNRC6C,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Paip1,TNKS1BP1,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Paip1,TNRC6A,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6a,PAIP1,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6a,TNRC6C,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6a,TNKS1BP1,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6a,TNRC6A,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6c,PAIP1,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6c,TNRC6C,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6c,TNKS1BP1,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000288,nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,Tnrc6c,TNRC6A,0.581990151621914,0.654335906470601,0.376304136945992
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,Tnrc6a,TNRC6C,0.351538095308973,0.475673079719034,0.273765522246028
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,Tnrc6a,TNRC6A,0.351538095308973,0.475673079719034,0.273765522246028
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,Tnrc6a,TNKS1BP1,0.351538095308973,0.475673079719034,0.273765522246028
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,Tnrc6c,TNRC6C,0.351538095308973,0.475673079719034,0.273765522246028
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,Tnrc6c,TNRC6A,0.351538095308973,0.475673079719034,0.273765522246028
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,Tnrc6c,TNKS1BP1,0.351538095308973,0.475673079719034,0.273765522246028
GO:0000303,response to superoxide,Sod1,NOS3,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod1,SOD1,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod1,SOD2,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod1,CD36,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod2,NOS3,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod2,SOD1,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod2,SOD2,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Sod2,CD36,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Cd36,NOS3,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Cd36,SOD1,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Cd36,SOD2,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Cd36,CD36,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Parp1,NOS3,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Parp1,SOD1,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Parp1,SOD2,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Parp1,CD36,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Nos3,NOS3,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Nos3,SOD1,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Nos3,SOD2,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000303,response to superoxide,Nos3,CD36,0.0505724002734352,0.115443240382865,0.0764113250691186
GO:0000305,response to oxygen radical,Cd36,SOD1,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Cd36,CD36,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Cd36,SOD2,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Cd36,NOS3,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Nos3,SOD1,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Nos3,CD36,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Nos3,SOD2,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Nos3,NOS3,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod1,SOD1,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod1,CD36,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod1,SOD2,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod1,NOS3,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod2,SOD1,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod2,CD36,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod2,SOD2,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Sod2,NOS3,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Parp1,SOD1,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Parp1,CD36,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Parp1,SOD2,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000305,response to oxygen radical,Parp1,NOS3,0.0560357569067614,0.123950985349599,0.0819521513202783
GO:0000387,spliceosomal snRNP assembly,Gemin7,GEMIN7,0.808871430394971,0.830532063432843,0.472162189690947
GO:0000387,spliceosomal snRNP assembly,Gemin7,SRSF12,0.808871430394971,0.830532063432843,0.472162189690947
GO:0000394,RNA splicing via endonucleolytic cleavage and ligation,Ern1,ERN1,0.496069205544636,0.586809765104643,0.343285842019452
GO:0000413,protein peptidyl-prolyl isomerization,Pin1,PPID,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Pin1,RANBP2,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Pin1,PPIL6,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Pin1,FKBP5,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Pin1,PIN1,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp1a,PPID,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp1a,RANBP2,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp1a,PPIL6,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp1a,FKBP5,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp1a,PIN1,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppid,PPID,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppid,RANBP2,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppid,PPIL6,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppid,FKBP5,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppid,PIN1,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ranbp2,PPID,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ranbp2,RANBP2,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ranbp2,PPIL6,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ranbp2,FKBP5,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ranbp2,PIN1,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp5,PPID,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp5,RANBP2,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp5,PPIL6,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp5,FKBP5,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Fkbp5,PIN1,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppil6,PPID,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppil6,RANBP2,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppil6,PPIL6,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppil6,FKBP5,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000413,protein peptidyl-prolyl isomerization,Ppil6,PIN1,0.0220589063345885,0.0631585935473678,0.0421272028876302
GO:0000460,maturation of 5.8S rRNA,Mphosph6,WDR12,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Mphosph6,MPHOSPH6,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Mphosph6,ABT1,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Wdr12,WDR12,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Wdr12,MPHOSPH6,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Wdr12,ABT1,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Abt1,WDR12,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Abt1,MPHOSPH6,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000460,maturation of 5.8S rRNA,Abt1,ABT1,0.30095854162853,0.420888388757653,0.253177021921392
GO:0000462,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Abt1,ABT1,0.86300201443799,0.87426967985121,0.498708484406464
GO:0000463,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Wdr12,WDR12,0.200621819587572,0.307843698329813,0.182983642509134
GO:0000463,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Wdr12,DDX18,0.200621819587572,0.307843698329813,0.182983642509134
GO:0000463,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Ddx18,WDR12,0.200621819587572,0.307843698329813,0.182983642509134
GO:0000463,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Ddx18,DDX18,0.200621819587572,0.307843698329813,0.182983642509134
GO:0000466,maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Wdr12,ABT1,0.381719891245633,0.501949943753639,0.297232499796218
GO:0000466,maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Wdr12,WDR12,0.381719891245633,0.501949943753639,0.297232499796218
GO:0000466,maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA 5.8S rRNA LSU-rRNA),Abt1,ABT1,0.381719891245633,0.501949943753639,0.297232499796218
