GO_term,description,source,sink,avg_pvalue,avg_pvalue_adj,avg_qvalue
Stac,Cdk5,GO:1901385,regulation of voltage-gated calcium channel activity,0.0184564572026534,0.0387721643937806,0.017668500715699
Trem2,Akap9,GO:0043268,positive regulation of potassium ion transport,0.0264249752407378,0.0519216929795849,0.0236607495071195
Arg2,Grn,GO:1900424,regulation of defense response to bacterium,0.0146455961035057,0.0320724085911019,0.0146154176070958
Stau1,Rhoa,GO:0099010,modification of postsynaptic structure,0.000787540042067357,0.00285662251622614,0.00130176475215089
Cd36,Lrp1,GO:0070508,cholesterol import,0.00196350162697614,0.00606107963122133,0.00276203795884351
Akt1,Sfxn1,GO:1990542,mitochondrial transmembrane transport,0.313119651714632,0.39395020296659,0.179523365587026
Wdr12,Mphosph6,GO:0000460,maturation of 5.8S rRNA,0.199869674792989,0.268090543172577,0.122169036162362
Rsph6a,Hydin,GO:0001578,microtubule bundle formation,0.651340136588746,0.678196019047259,0.309054370197678
Fyn,Cdk5,GO:0090314,positive regulation of protein targeting to membrane,0.00174685629875519,0.00549103726263119,0.00250226927801564
Traf2,Paip1,GO:0048255,mRNA stabilization,0.0484988280685495,0.0860811049793206,0.039227215934823
Tyrobp,Spi1,GO:0042119,neutrophil activation,0.00776644911718949,0.0193595160209826,0.00882214413408359
Atf7ip,Trp53,GO:0045898,regulation of RNA polymerase II transcription preinitiation complex assembly,0.00097278616313472,0.00336154771719223,0.00153185949703119
Nos3,Pid1,GO:0030810,positive regulation of nucleotide biosynthetic process,0.00233849408322363,0.00705082472951809,0.00321306544856551
Trem2,Grn,GO:1903978,regulation of microglial cell activation,4.00300709387566e-05,0.000230809224054391,0.000105179914615473
Gsk3b,Il10,GO:0035729,cellular response to hepatocyte growth factor stimulus,0.000483651787271684,0.00190563261805203,0.000868398032515112
Trim9,Spi1,GO:1903306,negative regulation of regulated secretory pathway,0.000629125037101383,0.00237709175950238,0.00108324227214891
Cd36,Lrp2,GO:0044872,lipoprotein localization,0.000120993913243698,0.000586355118027151,0.000267202411433557
Park7,Ckm,GO:0042398,cellular modified amino acid biosynthetic process,0.0304483787030412,0.0589561781099002,0.0268663689896234
Gm5724,Slco1a5,GO:0043252,sodium-independent organic anion transport,0.00088126984327038,0.0031117404200432,0.00141802214805996
Lrp1,Lpl,GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,0.000238676980433955,0.00104727399405955,0.000477243445210972
Vcp,Epg5,GO:0008333,endosome to lysosome transport,0.103154650079768,0.157736479490907,0.0718806170445306
Mc1r,Lrrk2,GO:0010738,regulation of protein kinase A signaling,0.000386787962902,0.00157692503948806,0.000718605773611847
Inpp5d,Loxl3,GO:1902106,negative regulation of leukocyte differentiation,0.382123598706103,0.461649119551076,0.210373806227294
Dennd3,Dennd4a,GO:0032482,Rab protein signal transduction,0.00861757615456956,0.0206801095770244,0.00942393948275429
Ptpro,Agt,GO:0098801,regulation of renal system process,0.0400206002649836,0.0730699489279826,0.0332980235980131
Clic5,Sorl1,GO:0002021,response to dietary excess,0.0110334455701005,0.0252911419904448,0.0115251899744524
Lrrk2,Sybu,GO:0051646,mitochondrion localization,0.0242514072581279,0.0487881251898809,0.0222327806124049
Slc6a4,Fcgr3,GO:0001820,serotonin secretion,0.00567609394845564,0.0148346822189987,0.0067601744060899
Notch1,Ppp1r13l,GO:0003215,cardiac right ventricle morphogenesis,0.055915474224261,0.0970574574339333,0.0442291469395104
Ip6k2,Plcd1,GO:0032958,inositol phosphate biosynthetic process,0.00208616854540982,0.00640293268937322,0.0029178206214072
Casp3,Adcy8,GO:0071312,cellular response to alkaloid,0.144868458146408,0.204441811366718,0.0931642673791788
Synj1,Sirt2,GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,0.000386787962902,0.00157692503948806,0.000718605773611847
Ptprf,Hfe,GO:1900121,negative regulation of receptor binding,0.0176181453993575,0.037312314301187,0.0170032460720882
Bcl11a,Picalm,GO:1903859,regulation of dendrite extension,0.00208616854540982,0.00640293268937322,0.0029178206214072
Phb,Yap1,GO:0050847,progesterone receptor signaling pathway,0.000641429826307797,0.00240837986853963,0.00109750028393548
Ppard,Megf10,GO:2000288,positive regulation of myoblast proliferation,0.0312714954832356,0.059681090710193,0.0271967121365009
Dock4,Lrp1,GO:1904752,regulation of vascular associated smooth muscle cell migration,0.00247293409581153,0.00741137234022634,0.00337736723097682
4930550C14Rik,Prkaa1,GO:1903747,regulation of establishment of protein localization to mitochondrion,0.00350802220197558,0.00986167819578387,0.00449397321466403
Camkv,Rhoa,GO:0099010,modification of postsynaptic structure,0.000787540042067357,0.00285662251622614,0.00130176475215089
Robo1,Mapk1,GO:0033598,mammary gland epithelial cell proliferation,0.0560635612807287,0.0970892402387619,0.0442436303844932
Ntrk2,Prnp,GO:0035584,calcium-mediated signaling using intracellular calcium source,0.000224291459940297,0.00099215401902637,0.000452125236476687
Akt1,Ppard,GO:0046320,regulation of fatty acid oxidation,0.0123102845987021,0.027982169891087,0.0127514931517929
Rnf6,Esr2,GO:0060765,regulation of androgen receptor signaling pathway,0.000787540042067357,0.00285662251622614,0.00130176475215089
Ptk2b,Plcg2,GO:0032958,inositol phosphate biosynthetic process,0.00208616854540982,0.00640293268937322,0.0029178206214072
Fancd2,Msh2,GO:0031573,mitotic intra-S DNA damage checkpoint signaling,0.155610643523414,0.216588302671542,0.0986994314245203
Tnf,Mbl2,GO:0048525,negative regulation of viral process,0.46234867309382,0.52289433266563,0.238283289968192
Il6,Loxl3,GO:0002363,alpha-beta T cell lineage commitment,0.00233849408322363,0.00705082472951809,0.00321306544856551
Cd36,Acsl6,GO:1902001,fatty acid transmembrane transport,0.00449592119578515,0.0121591000256548,0.00554090984768441
Adh1,Rest,GO:0006081,cellular aldehyde metabolic process,0.0708110396814941,0.117100925058024,0.053362968267219
Pde4b,Ahnak,GO:1901385,regulation of voltage-gated calcium channel activity,0.0184564572026534,0.0387721643937806,0.017668500715699
Relb,Traip,GO:0032480,negative regulation of type I interferon production,0.007010775582931,0.0178085183705126,0.00811535348863354
Pparg,Gapdh,GO:1905288,vascular associated smooth muscle cell apoptotic process,0.00265343148559302,0.00786177596102684,0.00358261645605603
Spred2,Bfsp2,GO:0070306,lens fiber cell differentiation,0.0789837894846804,0.128351338600546,0.058489789089217
Srsf12,Celf1,GO:0006376,mRNA splice site selection,0.114714934155617,0.170915827961506,0.0778864547769884
Fermt2,Yap1,GO:2000648,positive regulation of stem cell proliferation,0.166266102051467,0.22986893526866,0.104751424399788
Nrxn1,Prrt1,GO:2000311,regulation of AMPA receptor activity,0.000629125037101383,0.00237709175950238,0.00108324227214891
Ppard,Ppara,GO:0010887,negative regulation of cholesterol storage,0.000345020000917644,0.00143398937881396,0.000653469899398842
Mecom,Ret,GO:0072189,ureter development,0.055915474224261,0.0970574574339333,0.0442291469395104
Grid2ip,Homer2,GO:0007216,G protein-coupled glutamate receptor signaling pathway,0.000345020000917644,0.00143398937881396,0.000653469899398842
Sestd1,Bin1,GO:1902514,regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,0.00265343148559302,0.00786177596102684,0.00358261645605603
Sema6d,Nrp1,GO:0048843,negative regulation of axon extension involved in axon guidance,0.00597225186898746,0.0154735616605584,0.00705131218616838
Pnp,Zap70,GO:0046638,positive regulation of alpha-beta T cell differentiation,0.0264249752407378,0.0519216929795849,0.0236607495071195
Ptprn2,Lrrk2,GO:0034260,negative regulation of GTPase activity,0.00247293409581153,0.00741137234022634,0.00337736723097682
Hspg2,Mthfd1l,GO:0048704,embryonic skeletal system morphogenesis,0.529709797696005,0.577786247350207,0.263297571452207
Scarb1,Tcf7l2,GO:0090208,positive regulation of triglyceride metabolic process,0.00208616854540982,0.00640293268937322,0.0029178206214072
Arg2,Aldh4a1,GO:0009065,glutamine family amino acid catabolic process,0.0198453116664569,0.0413991600989002,0.0188656243795894
Ttr,Urah,GO:0009112,nucleobase metabolic process,0.0179748271088089,0.0378533920641173,0.0172498155631408
Tnf,Trim56,GO:0048525,negative regulation of viral process,0.46234867309382,0.52289433266563,0.238283289968192
Bloc1s3,Rab38,GO:0050931,pigment cell differentiation,0.00776644911718949,0.0193595160209826,0.00882214413408359
Src,Tnks1bp1,GO:0031954,positive regulation of protein autophosphorylation,0.000787540042067357,0.00285662251622614,0.00130176475215089
Ryr2,Lrrk2,GO:0070972,protein localization to endoplasmic reticulum,0.423855150047682,0.488592656593871,0.222651993709664
Vps13c,Trp53,GO:1901524,regulation of mitophagy,0.0216994310122023,0.0443851997976865,0.0202263646266202
Ppara,Rhoa,GO:1903427,negative regulation of reactive oxygen species biosynthetic process,0.000296925336629957,0.00126304061103788,0.000575568433926772
Zcwpw1,Tnfsfm13,GO:0045911,positive regulation of DNA recombination,0.113603464054099,0.170106763163318,0.077517763418398
Gsk3b,G6pd2,GO:0010614,negative regulation of cardiac muscle hypertrophy,0.00340490572476616,0.00972122028173257,0.00442996645121032
Scarb1,Slc19a1,GO:0035461,vitamin transmembrane transport,0.0490883888405321,0.0865627599324056,0.0394467064124984
Lepr,Ppara,GO:0045912,negative regulation of carbohydrate metabolic process,0.214926132945895,0.284461058310744,0.129629090635912
Sod2,Nav2,GO:0001976,nervous system process involved in regulation of systemic arterial blood pressure,0.00187450118627052,0.00585842798946688,0.00266968947292946
App,Tnf,GO:0051044,positive regulation of membrane protein ectodomain proteolysis,0.000483651787271684,0.00190563261805203,0.000868398032515112
Park7,Mthfd1l,GO:0042398,cellular modified amino acid biosynthetic process,0.0304483787030412,0.0589561781099002,0.0268663689896234
Src,Sorl1,GO:1900078,positive regulation of cellular response to insulin stimulus,0.00174685629875519,0.00549103726263119,0.00250226927801564
Trpm1,Grid2ip,GO:0007216,G protein-coupled glutamate receptor signaling pathway,0.000345020000917644,0.00143398937881396,0.000653469899398842
Notch1,Il18,GO:0045662,negative regulation of myoblast differentiation,0.0124253363396125,0.0280837001482556,0.0127977605565018
Vegfa,Tgfb2,GO:0010719,negative regulation of epithelial to mesenchymal transition,0.0201360008977621,0.0419033259294529,0.0190953730788748
Arg2,Bcl2,GO:0070233,negative regulation of T cell apoptotic process,0.00208616854540982,0.00640293268937322,0.0029178206214072
Cdk5,Ulk4,GO:0022038,corpus callosum development,0.00597225186898746,0.0154735616605584,0.00705131218616838
Bud23,Wdr12,GO:0006364,rRNA processing,0.963145401773005,0.963789538473739,0.439199524105959
Htr2c,Chrm1,GO:0007187,G protein-coupled receptor signaling pathway coupled to cyclic nucleotide second messenger,0.068746292014901,0.115370731466121,0.0525745179138582
Sod2,Gsk3b,GO:0034390,smooth muscle cell apoptotic process,0.0094534823690817,0.0223809699283837,0.0101990226591817
Notch1,Cdk1,GO:0060045,positive regulation of cardiac muscle cell proliferation,0.00816904469069394,0.0198908594279102,0.00906427767272836
Reg2,F2,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,0.580629827772268,0.616147077875359,0.280778627054488
Aicda,Brca2,GO:0033260,nuclear DNA replication,0.177269678944347,0.242062292603677,0.110307945325793
Uts2r,Htr2a,GO:0030431,sleep,0.00685208357423265,0.0175330141905868,0.00798980605334569
Akt1,Trh,GO:0032891,negative regulation of organic acid transport,0.0014510838656689,0.00469699131207592,0.00214042201813107
Cep63,Cep295nl,GO:0007099,centriole replication,0.0334598967041381,0.0631129788131947,0.0287606257934287
Notch1,Fgf10,GO:0031069,hair follicle morphogenesis,0.00457554961729879,0.0123409934472885,0.00562379879908976
Il6,Traf2,GO:0002724,regulation of T cell cytokine production,0.0224602514614466,0.0456605315885727,0.0208075341592564
Tardbp,Paip1,GO:0048255,mRNA stabilization,0.0484988280685495,0.0860811049793206,0.039227215934823
Plekha1,Tgfb2,GO:0060324,face development,0.144972680645003,0.204444272775764,0.0931653890448938
Il17b,Tnf,GO:1900017,positive regulation of cytokine production involved in inflammatory response,0.0332991203639086,0.0629684787924148,0.0286947770392906
Myo1c,Src,GO:1900078,positive regulation of cellular response to insulin stimulus,0.00174685629875519,0.00549103726263119,0.00250226927801564
Il1a,Kazn,GO:0031424,keratinization,0.530630559857107,0.578474298860617,0.263611116976276
Prim2,Brca2,GO:0006261,DNA-templated DNA replication,0.673081479346619,0.698282657980502,0.318207864719251
Trem2,Ccl12,GO:0034350,regulation of glial cell apoptotic process,0.000345020000917644,0.00143398937881396,0.000653469899398842
Nos3,Tgfb2,GO:0003184,pulmonary valve morphogenesis,0.000660359749606048,0.00245786884414938,0.00112005244254338
Comt,Cacna1a,GO:0042762,regulation of sulfur metabolic process,0.00140833844608936,0.00459090718945797,0.00209207941395341
Traf2,Igf1,GO:0034350,regulation of glial cell apoptotic process,0.000345020000917644,0.00143398937881396,0.000653469899398842
Ager,Prnp,GO:1900272,negative regulation of long-term synaptic potentiation,5.38073235002035e-06,4.0304985124996e-05,1.83670081271362e-05
Nedd9,Fermt2,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,0.0110334455701005,0.0252911419904448,0.0115251899744524
St6gal1,Itpkb,GO:0033033,negative regulation of myeloid cell apoptotic process,0.000496562059061707,0.00194370433190603,0.000885747337460935
Src,Rhoa,GO:0071803,positive regulation of podosome assembly,0.0176181453993575,0.037312314301187,0.0170032460720882
Parp1,Prkaa1,GO:1904177,regulation of adipose tissue development,0.000120993913243698,0.000586355118027151,0.000267202411433557
Slc24a4,Cmya5,GO:0050849,negative regulation of calcium-mediated signaling,0.000296925336629957,0.00126304061103788,0.000575568433926772
Parp1,Mrpl39,GO:0000002,mitochondrial genome maintenance,0.0789837894846804,0.128351338600546,0.058489789089217
Armh3,Akap9,GO:1903358,regulation of Golgi organization,0.0367562243835457,0.0679388520492652,0.0309597793887607
Il6,Dag1,GO:1903055,positive regulation of extracellular matrix organization,0.0014510838656689,0.00469699131207592,0.00214042201813107
Esr1,Mapk1,GO:0033598,mammary gland epithelial cell proliferation,0.0560635612807287,0.0970892402387619,0.0442436303844932
Ahcyl1,Sympk,GO:0006378,mRNA polyadenylation,0.15258704371067,0.214777388666124,0.0978741967258369
Tspo,Ppara,GO:0045980,negative regulation of nucleotide metabolic process,0.00597225186898746,0.0154735616605584,0.00705131218616838
Bdnf,Phb,GO:2000322,regulation of glucocorticoid receptor signaling pathway,0.000101681597225435,0.000506714703908602,0.000230910222543585
Cd36,Nr1h3,GO:0090208,positive regulation of triglyceride metabolic process,0.00208616854540982,0.00640293268937322,0.0029178206214072
Vcp,Aup1,GO:0032527,protein exit from endoplasmic reticulum,0.00985312578901366,0.0232434356998649,0.0105920488762872
Il34,Tlr2,GO:0030225,macrophage differentiation,0.0151684930147672,0.0330964020026911,0.0150820520756229
Apoe,Bin1,GO:0065005,protein-lipid complex assembly,0.000787540042067357,0.00285662251622614,0.00130176475215089
Epc2,Parp1,GO:0045911,positive regulation of DNA recombination,0.113603464054099,0.170106763163318,0.077517763418398
Pdpk1,Hmgcr,GO:0010664,negative regulation of striated muscle cell apoptotic process,0.25882621645041,0.332919601430412,0.151711680482996
Fbxl3,Src,GO:0031648,protein destabilization,0.0392172412750855,0.0718882661658152,0.0327595299891179
Il1a,Mad1l1,GO:0045840,positive regulation of mitotic nuclear division,0.0435732048375838,0.0781497245888339,0.035612880694661
Sall1,Ptpro,GO:0035850,epithelial cell differentiation involved in kidney development,0.00876544909514296,0.0209593339330526,0.00955118220472924
Tlr4,Usp50,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,0.00140833844608936,0.00459090718945797,0.00209207941395341
Akt1,Gria1,GO:0045838,positive regulation of membrane potential,0.000975045419723595,0.00336154771719223,0.00153185949703119
Robo1,Wnt3,GO:0031128,developmental induction,0.0435732048375838,0.0781497245888339,0.035612880694661
Sod1,Igf1,GO:2000242,negative regulation of reproductive process,0.691804041262089,0.712518875744898,0.324695318481296
Pik3cg,Btg1,GO:0044346,fibroblast apoptotic process,0.00291115512090089,0.00846200262194845,0.00385614013867448
Havcr2,Il33,GO:0002281,macrophage activation involved in immune response,0.000166405518829655,0.000777468407646751,0.000354292862720438
Fcrl5,Nectin2,GO:0050854,regulation of antigen receptor-mediated signaling pathway,0.322951175410294,0.404195479889295,0.184192144992862
Ccl12,Ace,GO:0090279,regulation of calcium ion import,0.0789837894846804,0.128351338600546,0.058489789089217
Map3k12,Ager,GO:0043507,positive regulation of JUN kinase activity,0.0363953419417916,0.0679388520492652,0.0309597793887607
Kras,Arntl,GO:2000772,regulation of cellular senescence,0.0435732048375838,0.0781497245888339,0.035612880694661
Crhr1,Agt,GO:0035930,corticosteroid hormone secretion,0.00288063467220185,0.00839775865227866,0.00382686411960674
Arfgap2,Psen1,GO:0006903,vesicle targeting,0.118579910341308,0.176279374911259,0.0803306266359007
Suds3,Pemt,GO:0001835,blastocyst hatching,0.0304483787030412,0.0589561781099002,0.0268663689896234
Ptn,Nrp1,GO:0140059,dendrite arborization,0.000159221289094111,0.00074740346292412,0.000340592247713388
Inpp5d,Pilrb1,GO:0045671,negative regulation of osteoclast differentiation,0.0789837894846804,0.128351338600546,0.058489789089217
Hbegf,Abca7,GO:0010561,negative regulation of glycoprotein biosynthetic process,0.00349285384365679,0.00985607272715034,0.00449141879893533
Src,Akap9,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,0.0124079411907271,0.0280837001482556,0.0127977605565018
Hbegf,Oga,GO:0010561,negative regulation of glycoprotein biosynthetic process,0.00349285384365679,0.00985607272715034,0.00449141879893533
B4galnt2,Oga,GO:0006040,amino sugar metabolic process,0.0473089285413423,0.0841688279785773,0.0383557900527624
Tlr4,Rest,GO:1903209,positive regulation of oxidative stress-induced cell death,0.000224291459940297,0.00099215401902637,0.000452125236476687
Trpm1,Cacna1g,GO:0060402,calcium ion transport into cytosol,0.00340490572476616,0.00972122028173257,0.00442996645121032
Arg2,Loxl3,GO:0046636,negative regulation of alpha-beta T cell activation,0.136215991550778,0.196021329509835,0.089327048280347
Bcl2,Oga,GO:0060402,calcium ion transport into cytosol,0.00340490572476616,0.00972122028173257,0.00442996645121032
Rbfox1,S100b,GO:2001014,regulation of skeletal muscle cell differentiation,0.0560635612807287,0.0970892402387619,0.0442436303844932
Oprd1,Gabbr1,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,0.0932331597879031,0.146649267103968,0.0668281670960528
Agt,Soat1,GO:0034433,steroid esterification,0.00449592119578515,0.0121591000256548,0.00554090984768441
Gli2,Tgfb2,GO:0031069,hair follicle morphogenesis,0.00457554961729879,0.0123409934472885,0.00562379879908976
Pirb,Adcy8,GO:1900454,positive regulation of long-term synaptic depression,0.00097278616313472,0.00336154771719223,0.00153185949703119
Scara5,Slc11a2,GO:0006826,iron ion transport,0.0421742659095942,0.0763730654974044,0.0348032559827243
Rab21,Dennd4a,GO:0032482,Rab protein signal transduction,0.00861757615456956,0.0206801095770244,0.00942393948275429
Trp53,P2rx7,GO:0070230,positive regulation of lymphocyte apoptotic process,0.00187450118627052,0.00585842798946688,0.00266968947292946
Ptk2b,Ace,GO:0038083,peptidyl-tyrosine autophosphorylation,0.00288063467220185,0.00839775865227866,0.00382686411960674
Cyp2j9,Cyp2j6,GO:0019373,epoxygenase P450 pathway,0.0201360008977621,0.0419033259294529,0.0190953730788748
Nup160,Sem1,GO:0006405,RNA export from nucleus,0.339440250138445,0.422535336330822,0.192549629588561
Il1rap,Il33,GO:0032656,regulation of interleukin-13 production,0.000166405518829655,0.000777468407646751,0.000354292862720438
Hcn1,Trpm1,GO:0042462,eye photoreceptor cell development,0.0512284938494612,0.089991938857947,0.0410093854954827
Crhr1,Hmox1,GO:0043304,regulation of mast cell degranulation,0.0276131375048097,0.0540787395177638,0.0246437170277494
Rac1,Grn,GO:0045730,respiratory burst,0.105251457309221,0.160409975043466,0.0730989307193632
Slc35c1,Tet2,GO:0006493,protein O-linked glycosylation,0.33305988982054,0.415890557182544,0.189521599377386
Apoe,Fermt2,GO:0043116,negative regulation of vascular permeability,0.00148159410857285,0.00475715704925348,0.00216783958398026
Il6,Sh3rf1,GO:0043370,regulation of CD4-positive alpha-beta T cell differentiation,0.205610620317821,0.273583717786163,0.124672279432607
Psen2,Igf1,GO:0050732,negative regulation of peptidyl-tyrosine phosphorylation,0.0392172412750855,0.0718882661658152,0.0327595299891179
Ddah1,Fermt2,GO:0043116,negative regulation of vascular permeability,0.00148159410857285,0.00475715704925348,0.00216783958398026
Hip1r,Pick1,GO:0045010,actin nucleation,0.0392172412750855,0.0718882661658152,0.0327595299891179
Tlr2,Pid1,GO:0070542,response to fatty acid,0.00526079729018184,0.0139194835463034,0.00634311777135332
Agt,Tgfb2,GO:1903055,positive regulation of extracellular matrix organization,0.0014510838656689,0.00469699131207592,0.00214042201813107
Parp6,Xrcc1,GO:0006471,protein ADP-ribosylation,0.0201360008977621,0.0419033259294529,0.0190953730788748
Galnt10,Tet2,GO:0006493,protein O-linked glycosylation,0.33305988982054,0.415890557182544,0.189521599377386
Gsto1,Hmox1,GO:0071243,cellular response to arsenic-containing substance,0.00567609394845564,0.0148346822189987,0.0067601744060899
Mapk1,Tnks1bp1,GO:0010800,positive regulation of peptidyl-threonine phosphorylation,0.00174685629875519,0.00549103726263119,0.00250226927801564
Hcn1,Ctnna3,GO:0098901,regulation of cardiac muscle cell action potential,0.000975045419723595,0.00336154771719223,0.00153185949703119
Cd44,Itpkb,GO:0001781,neutrophil apoptotic process,0.000101681597225435,0.000506714703908602,0.000230910222543585
Pparg,Cd36,GO:0060100,positive regulation of phagocytosis engulfment,5.95526776692094e-05,0.000323139416002011,0.000147254843575819
Lrp8,Tmem106b,GO:1900006,positive regulation of dendrite development,0.00233849408322363,0.00705082472951809,0.00321306544856551
Mmp3,Pkhd1,GO:0051898,negative regulation of protein kinase B signaling,0.0136874152075154,0.0306469061043695,0.0139658151899787
Fas,Prkaa1,GO:0097284,hepatocyte apoptotic process,0.000386787962902,0.00157692503948806,0.000718605773611847
Ccl12,F2,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,0.580629827772268,0.616147077875359,0.280778627054488
Pnpla7,Apoc1,GO:0034638,phosphatidylcholine catabolic process,0.00349285384365679,0.00985607272715034,0.00449141879893533
Nrxn1,Gphn,GO:0072578,neurotransmitter-gated ion channel clustering,0.00233849408322363,0.00705082472951809,0.00321306544856551
Prickle1,Gsk3b,GO:1905207,regulation of cardiocyte differentiation,0.0461606794045373,0.0821747966199155,0.0374471086562373
Maf,Rarb,GO:0032330,regulation of chondrocyte differentiation,0.224354638935426,0.294788696822947,0.134335402272041
Htra2,Ctnna1,GO:2001241,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,0.000238676980433955,0.00104727399405955,0.000477243445210972
Arntl,Rfx6,GO:0003309,type B pancreatic cell differentiation,0.0789837894846804,0.128351338600546,0.058489789089217
Akt1,Mecom,GO:0032873,negative regulation of stress-activated MAPK cascade,0.0596201192462856,0.102920800025676,0.0469010759999168
Col11a1,Kcnq1,GO:0050910,detection of mechanical stimulus involved in sensory perception of sound,0.0708279613550622,0.117100925058024,0.053362968267219
Uchl1,Nectin2,GO:0051654,establishment of mitochondrion localization,0.00597225186898746,0.0154735616605584,0.00705131218616838
Cdk5,Map4k4,GO:0150146,cell junction disassembly,0.0631667297298499,0.107830255970665,0.0491383182904618
Kcnn2,Cacna1g,GO:0086019,cell-cell signaling involved in cardiac conduction,0.0094534823690817,0.0223809699283837,0.0101990226591817
Notch1,Rarb,GO:0035116,embryonic hindlimb morphogenesis,0.0179748271088089,0.0378533920641173,0.0172498155631408
Park7,Wac,GO:0016574,histone ubiquitination,0.224354638935426,0.294788696822947,0.134335402272041
Cd300lg,Lrp1,GO:0045056,transcytosis,0.000386787962902,0.00157692503948806,0.000718605773611847
Pla2r1,Lrp1,GO:0032429,regulation of phospholipase A2 activity,0.140068250018392,0.198792619483062,0.0905899269367479
Trem2,Traf2,GO:0034350,regulation of glial cell apoptotic process,0.000345020000917644,0.00143398937881396,0.000653469899398842
